ENTIDAD,MUNICIPIO,POBTOT,POB_AFRO,POB_AFRO_F,POB_AFRO_M
1,4,2304,12,5,7
1,4,3443,83,42,41
1,4,3777,443,220,223
1,5,12564,145,64,81
1,5,4946,23,14,9
1,5,7703,143,74,69
1,5,1789,14,5,9
1,5,8471,145,69,76
1,5,13733,146,67,79
1,5,1453,36,20,16
1,5,2287,40,16,24
1,5,2169,5,2,3
1,5,4908,39,24,15
1,5,1387,31,10,21
1,5,6505,17,7,10
1,10,1183,6,3,3
1,5,13939,529,265,264
1,5,6412,455,225,230
1,5,1719,9,3,6
1,5,466,3,3,0
1,5,1255,0,0,0
1,5,3523,3,2,1
1,5,12380,65,36,29
1,5,4552,423,209,214
1,5,18699,290,156,134
1,5,3935,26,14,12
1,6,8436,34,22,12
1,6,1990,45,23,22
1,6,1727,5,1,4
1,6,1572,1,1,0
1,6,1759,1,0,1
1,6,1123,87,48,39
1,6,7224,85,41,44
1,6,1266,4,2,2
1,6,1649,1,1,0
1,6,4898,7,4,3
1,6,1005,2,1,1
1,6,2073,22,5,17
1,6,1903,8,5,3
1,6,4482,68,36,32
1,6,3196,7,5,2
1,6,2070,58,29,29
1,7,1033,7,4,3
1,7,4625,28,18,10
1,7,1125,2,1,1
1,7,786,0,0,0
1,7,1121,16,6,10
1,7,7580,39,18,21
1,7,3840,24,9,15
1,7,750,3,3,0
1,7,2675,4,3,1
1,7,7727,48,26,22
1,7,1213,5,4,1
1,7,3006,3,2,1
1,7,2565,1,1,0
1,7,1457,0,0,0
1,7,3188,135,79,56
1,7,3076,4,1,3
1,7,3609,0,0,0
1,7,2034,8,4,4
1,7,2899,0,0,0
1,7,1813,5,3,2
1,7,1236,8,3,5
1,8,1639,17,6,11
1,8,2242,31,18,13
1,8,1723,17,10,7
1,8,488,0,0,0
1,8,516,1,0,1
1,8,1261,522,277,245
1,8,1688,2,0,2
1,9,2539,2,2,0
1,9,2706,5,4,1
1,9,2280,13,6,7
1,9,1915,14,6,8
1,9,2577,3,1,2
1,9,962,0,0,0
1,9,1358,3,1,2
1,9,3089,14,10,4
1,9,1310,9,2,7
1,9,3900,20,12,8
1,10,1494,35,19,16
1,10,1747,14,9,5
1,10,1628,13,5,8
1,10,13946,73,34,39
1,10,1769,4,2,2
1,10,2245,4,2,2
1,10,12615,142,68,74
1,10,7668,30,8,22
1,10,19852,168,83,85
1,11,3670,1,1,0
1,11,2712,6,4,2
1,11,1694,2,1,1
1,11,3514,2,2,0
1,11,1287,13,7,6
1,11,1267,16,9,7
1,11,2943,91,43,48
1,11,3732,22,9,13
1,6,301,6,1,5
1,1,1073,4,0,4
1,1,855,0,0,0
1,1,1102,4,3,1
1,1,1252,3,2,1
1,1,2560,12,7,5
1,1,1531,17,10,7
1,1,1966,2,1,1
1,1,3468,38,16,22
1,1,1240,4,1,3
1,1,1222,3,1,2
1,1,1100,3,1,2
1,1,993,1,1,0
1,1,1188,2,2,0
1,1,1116,1,1,0
1,1,978,0,0,0
1,1,1237,5,1,4
1,1,1071,6,4,2
1,1,1020,2,1,1
1,1,1031,16,8,8
1,1,1337,1,1,0
1,1,3306,3,0,3
1,1,1117,4,3,1
1,1,1084,3,0,3
1,1,728,2,0,2
1,1,584,7,3,4
1,1,832,8,4,4
1,1,987,65,29,36
1,1,1085,92,48,44
1,1,825,108,54,54
1,1,816,216,111,105
1,1,684,16,9,7
1,1,812,92,45,47
1,1,826,1,0,1
1,1,991,3,2,1
1,1,1006,1,1,0
1,1,1093,13,6,7
1,1,1111,4,1,3
1,1,1020,0,0,0
1,1,1014,15,4,11
1,1,1420,19,9,10
1,1,1013,2,1,1
1,1,3844,18,11,7
1,1,1368,8,6,2
1,1,1342,1,0,1
1,1,1433,13,7,6
1,1,1562,38,22,16
1,1,1605,12,4,8
1,1,1688,3,2,1
1,1,1380,16,6,10
1,1,1038,26,9,17
1,1,1226,21,7,14
1,1,1257,17,8,9
1,1,1275,18,8,10
1,1,1279,26,12,14
1,1,1430,2,1,1
1,1,1385,4,3,1
1,1,1737,2,1,1
1,1,1735,1,1,0
1,1,1918,12,5,7
1,1,1121,12,6,6
1,1,4576,71,39,32
1,1,1122,12,5,7
1,1,1279,18,10,8
1,1,1039,10,3,7
1,1,1123,25,15,10
1,1,1148,10,4,6
1,1,12675,454,233,221
1,1,1071,58,27,31
1,1,1082,30,10,20
1,1,1095,9,5,4
1,1,1112,31,12,19
1,1,1505,12,8,4
1,1,522,2,1,1
1,1,1078,6,3,3
1,1,1056,18,7,11
1,1,982,10,2,8
1,1,848,2,2,0
1,1,953,5,2,3
1,1,1083,7,3,4
1,1,890,1,1,0
1,1,930,1,0,1
1,1,858,9,6,3
1,1,753,5,4,1
1,1,13528,220,102,118
1,1,2587,18,12,6
1,1,1335,10,5,5
1,1,2549,4,1,3
1,1,1409,6,4,2
1,1,1925,0,0,0
1,1,1187,3,2,1
1,1,1167,4,2,2
1,1,1372,5,1,4
1,1,1386,2,1,1
1,1,1486,6,3,3
1,1,1408,8,2,6
